id,ADI,CV2,Category
FOODS_1_003_WI_2_validation,4.65,0.32,Intermittent (Ngắt quãng)
FOODS_1_003_WI_3_validation,3.98,0.25,Intermittent (Ngắt quãng)
FOODS_1_004_CA_1_validation,1.16,inf,Erratic (Thất thường)
FOODS_1_004_CA_2_validation,1.21,0.6,Erratic (Thất thường)
FOODS_1_004_CA_3_validation,1.24,inf,Erratic (Thất thường)
FOODS_1_004_CA_4_validation,1.37,0.36,Intermittent (Ngắt quãng)
FOODS_1_004_TX_1_validation,1.14,0.39,Smooth (Đều đặn)
FOODS_1_004_TX_2_validation,1.24,inf,Erratic (Thất thường)
FOODS_1_004_TX_3_validation,1.15,0.36,Smooth (Đều đặn)
FOODS_1_004_WI_1_validation,1.19,0.43,Smooth (Đều đặn)
FOODS_1_004_WI_2_validation,1.2,inf,Erratic (Thất thường)
FOODS_1_004_WI_3_validation,1.21,inf,Erratic (Thất thường)
FOODS_1_005_CA_1_validation,2.17,0.43,Intermittent (Ngắt quãng)
FOODS_1_005_CA_2_validation,1.65,0.59,Lumpy (Cục bộ)
FOODS_1_005_CA_3_validation,1.8,0.58,Lumpy (Cục bộ)
FOODS_1_005_CA_4_validation,3.2,0.24,Intermittent (Ngắt quãng)
FOODS_1_005_TX_1_validation,2.99,0.45,Intermittent (Ngắt quãng)
FOODS_1_005_TX_2_validation,2.19,0.48,Intermittent (Ngắt quãng)
FOODS_1_005_TX_3_validation,2.22,0.25,Intermittent (Ngắt quãng)
FOODS_1_005_WI_1_validation,2.09,0.41,Intermittent (Ngắt quãng)
FOODS_1_005_WI_2_validation,2.36,0.26,Intermittent (Ngắt quãng)
FOODS_1_005_WI_3_validation,2.45,0.44,Intermittent (Ngắt quãng)
FOODS_1_006_CA_1_validation,1.66,0.4,Intermittent (Ngắt quãng)
FOODS_1_006_CA_2_validation,1.78,0.39,Intermittent (Ngắt quãng)
FOODS_1_006_CA_3_validation,1.64,0.44,Intermittent (Ngắt quãng)
FOODS_1_006_CA_4_validation,2.08,0.38,Intermittent (Ngắt quãng)
FOODS_1_006_TX_1_validation,3.2,0.25,Intermittent (Ngắt quãng)
FOODS_1_006_TX_2_validation,2.68,0.28,Intermittent (Ngắt quãng)
FOODS_1_006_TX_3_validation,2.44,0.49,Lumpy (Cục bộ)
FOODS_1_006_WI_1_validation,1.49,0.39,Intermittent (Ngắt quãng)
FOODS_1_006_WI_2_validation,1.83,0.4,Intermittent (Ngắt quãng)
FOODS_1_006_WI_3_validation,1.9,0.43,Intermittent (Ngắt quãng)
FOODS_1_008_CA_1_validation,5.85,0.27,Intermittent (Ngắt quãng)
FOODS_1_008_CA_2_validation,16.24,0.21,Intermittent (Ngắt quãng)
FOODS_1_008_CA_3_validation,4.64,0.27,Intermittent (Ngắt quãng)
FOODS_1_008_CA_4_validation,4.27,0.0,Intermittent (Ngắt quãng)
FOODS_1_008_TX_1_validation,12.73,0.0,Intermittent (Ngắt quãng)
FOODS_1_008_TX_2_validation,8.96,0.25,Intermittent (Ngắt quãng)
FOODS_1_008_TX_3_validation,8.44,0.0,Intermittent (Ngắt quãng)
FOODS_1_008_WI_1_validation,2.95,0.26,Intermittent (Ngắt quãng)
FOODS_1_008_WI_2_validation,4.81,0.0,Intermittent (Ngắt quãng)
FOODS_1_008_WI_3_validation,4.96,0.22,Intermittent (Ngắt quãng)
FOODS_1_009_CA_1_validation,3.11,0.26,Intermittent (Ngắt quãng)
FOODS_1_009_CA_2_validation,2.66,0.44,Intermittent (Ngắt quãng)
FOODS_1_009_CA_3_validation,2.65,0.6,Lumpy (Cục bộ)
FOODS_1_009_CA_4_validation,4.15,0.26,Intermittent (Ngắt quãng)
FOODS_1_009_TX_1_validation,6.42,0.32,Intermittent (Ngắt quãng)
FOODS_1_009_TX_2_validation,5.27,0.3,Intermittent (Ngắt quãng)
FOODS_1_009_TX_3_validation,6.98,0.14,Intermittent (Ngắt quãng)
FOODS_1_009_WI_1_validation,3.61,0.25,Intermittent (Ngắt quãng)
FOODS_1_009_WI_2_validation,4.71,0.24,Intermittent (Ngắt quãng)
FOODS_1_009_WI_3_validation,4.97,0.25,Intermittent (Ngắt quãng)
FOODS_1_010_CA_1_validation,6.27,0.0,Intermittent (Ngắt quãng)
FOODS_1_010_CA_2_validation,5.45,0.27,Intermittent (Ngắt quãng)
FOODS_1_010_CA_3_validation,5.36,0.27,Intermittent (Ngắt quãng)
FOODS_1_010_CA_4_validation,6.58,0.0,Intermittent (Ngắt quãng)
FOODS_1_010_TX_1_validation,5.63,0.21,Intermittent (Ngắt quãng)
FOODS_1_010_TX_2_validation,4.06,0.25,Intermittent (Ngắt quãng)
FOODS_1_010_TX_3_validation,2.85,0.27,Intermittent (Ngắt quãng)
FOODS_1_010_WI_1_validation,2.59,0.27,Intermittent (Ngắt quãng)
FOODS_1_010_WI_2_validation,3.55,0.26,Intermittent (Ngắt quãng)
FOODS_1_010_WI_3_validation,4.38,0.27,Intermittent (Ngắt quãng)
FOODS_1_011_CA_1_validation,3.37,0.38,Intermittent (Ngắt quãng)
FOODS_1_011_CA_2_validation,2.1,0.54,Lumpy (Cục bộ)
FOODS_1_011_CA_3_validation,2.7,0.44,Intermittent (Ngắt quãng)
FOODS_1_011_CA_4_validation,5.24,0.27,Intermittent (Ngắt quãng)
FOODS_1_011_TX_1_validation,4.36,0.29,Intermittent (Ngắt quãng)
FOODS_1_011_TX_2_validation,6.16,0.3,Intermittent (Ngắt quãng)
FOODS_1_011_TX_3_validation,8.21,0.23,Intermittent (Ngắt quãng)
FOODS_1_011_WI_1_validation,4.04,0.26,Intermittent (Ngắt quãng)
FOODS_1_011_WI_2_validation,6.16,0.29,Intermittent (Ngắt quãng)
FOODS_1_011_WI_3_validation,8.74,0.26,Intermittent (Ngắt quãng)
FOODS_1_012_CA_1_validation,1.36,0.36,Intermittent (Ngắt quãng)
FOODS_1_012_CA_2_validation,1.28,0.17,Smooth (Đều đặn)
FOODS_1_012_CA_3_validation,1.27,0.22,Smooth (Đều đặn)
FOODS_1_012_CA_4_validation,1.29,0.26,Smooth (Đều đặn)
FOODS_1_012_TX_1_validation,1.1,0.34,Smooth (Đều đặn)
FOODS_1_012_TX_2_validation,1.04,0.19,Smooth (Đều đặn)
FOODS_1_012_TX_3_validation,1.15,0.3,Smooth (Đều đặn)
FOODS_1_012_WI_1_validation,1.49,0.37,Intermittent (Ngắt quãng)
FOODS_1_012_WI_2_validation,1.99,0.4,Intermittent (Ngắt quãng)
FOODS_1_012_WI_3_validation,2.05,0.38,Intermittent (Ngắt quãng)
FOODS_1_013_CA_1_validation,2.08,0.48,Intermittent (Ngắt quãng)
FOODS_1_013_CA_2_validation,1.56,0.51,Lumpy (Cục bộ)
FOODS_1_013_CA_3_validation,1.66,0.64,Lumpy (Cục bộ)
FOODS_1_013_CA_4_validation,2.19,0.27,Intermittent (Ngắt quãng)
FOODS_1_013_TX_1_validation,2.28,0.65,Lumpy (Cục bộ)
FOODS_1_013_TX_2_validation,2.77,0.28,Intermittent (Ngắt quãng)
FOODS_1_013_TX_3_validation,2.79,0.26,Intermittent (Ngắt quãng)
FOODS_1_013_WI_1_validation,1.97,0.43,Intermittent (Ngắt quãng)
FOODS_1_013_WI_2_validation,3.04,0.28,Intermittent (Ngắt quãng)
FOODS_1_013_WI_3_validation,2.68,0.26,Intermittent (Ngắt quãng)
FOODS_1_014_CA_1_validation,1.91,0.26,Intermittent (Ngắt quãng)
FOODS_1_014_CA_2_validation,2.2,0.47,Intermittent (Ngắt quãng)
FOODS_1_014_CA_3_validation,1.79,0.43,Intermittent (Ngắt quãng)
FOODS_1_014_CA_4_validation,2.86,0.26,Intermittent (Ngắt quãng)
FOODS_1_014_TX_1_validation,2.16,0.42,Intermittent (Ngắt quãng)
FOODS_1_014_TX_2_validation,1.78,0.42,Intermittent (Ngắt quãng)
FOODS_1_014_TX_3_validation,2.38,0.46,Intermittent (Ngắt quãng)
FOODS_1_014_WI_1_validation,1.83,0.38,Intermittent (Ngắt quãng)
FOODS_1_014_WI_2_validation,1.44,0.35,Intermittent (Ngắt quãng)
FOODS_1_014_WI_3_validation,2.64,0.26,Intermittent (Ngắt quãng)
FOODS_1_015_CA_1_validation,2.92,0.27,Intermittent (Ngắt quãng)
FOODS_1_015_CA_2_validation,2.22,0.56,Lumpy (Cục bộ)
FOODS_1_015_CA_3_validation,2.71,0.54,Lumpy (Cục bộ)
FOODS_1_015_CA_4_validation,4.15,0.24,Intermittent (Ngắt quãng)
FOODS_1_015_TX_1_validation,4.56,0.29,Intermittent (Ngắt quãng)
FOODS_1_015_TX_2_validation,3.12,0.3,Intermittent (Ngắt quãng)
FOODS_1_015_TX_3_validation,3.74,0.25,Intermittent (Ngắt quãng)
FOODS_1_015_WI_1_validation,3.48,0.29,Intermittent (Ngắt quãng)
FOODS_1_015_WI_2_validation,3.78,0.29,Intermittent (Ngắt quãng)
FOODS_1_015_WI_3_validation,3.5,0.3,Intermittent (Ngắt quãng)
FOODS_1_016_CA_1_validation,1.72,0.4,Intermittent (Ngắt quãng)
FOODS_1_016_CA_2_validation,1.74,0.42,Intermittent (Ngắt quãng)
FOODS_1_016_CA_3_validation,1.95,0.25,Intermittent (Ngắt quãng)
FOODS_1_016_CA_4_validation,2.99,0.28,Intermittent (Ngắt quãng)
FOODS_1_016_TX_1_validation,4.55,0.24,Intermittent (Ngắt quãng)
FOODS_1_016_TX_2_validation,3.06,0.26,Intermittent (Ngắt quãng)
FOODS_1_016_TX_3_validation,3.37,0.26,Intermittent (Ngắt quãng)
FOODS_1_016_WI_1_validation,2.54,0.27,Intermittent (Ngắt quãng)
FOODS_1_016_WI_2_validation,2.91,0.27,Intermittent (Ngắt quãng)
FOODS_1_016_WI_3_validation,3.67,0.25,Intermittent (Ngắt quãng)
FOODS_1_017_CA_1_validation,3.13,0.27,Intermittent (Ngắt quãng)
FOODS_1_017_CA_2_validation,2.21,0.4,Intermittent (Ngắt quãng)
FOODS_1_017_CA_3_validation,2.28,0.38,Intermittent (Ngắt quãng)
FOODS_1_017_CA_4_validation,3.54,0.26,Intermittent (Ngắt quãng)
FOODS_1_017_TX_1_validation,4.17,0.24,Intermittent (Ngắt quãng)
FOODS_1_017_TX_2_validation,3.64,0.28,Intermittent (Ngắt quãng)
FOODS_1_017_TX_3_validation,6.25,0.0,Intermittent (Ngắt quãng)
FOODS_1_017_WI_1_validation,3.21,0.27,Intermittent (Ngắt quãng)
FOODS_1_017_WI_2_validation,4.94,0.23,Intermittent (Ngắt quãng)
FOODS_1_017_WI_3_validation,6.73,0.25,Intermittent (Ngắt quãng)
FOODS_1_018_CA_1_validation,1.03,0.36,Smooth (Đều đặn)
FOODS_1_018_CA_2_validation,1.1,0.49,Erratic (Thất thường)
FOODS_1_018_CA_3_validation,1.04,inf,Erratic (Thất thường)
FOODS_1_018_CA_4_validation,1.08,0.44,Smooth (Đều đặn)
FOODS_1_018_TX_1_validation,1.29,0.51,Erratic (Thất thường)
FOODS_1_018_TX_2_validation,1.08,0.45,Smooth (Đều đặn)
FOODS_1_018_TX_3_validation,1.26,0.66,Erratic (Thất thường)
FOODS_1_018_WI_1_validation,1.04,0.41,Smooth (Đều đặn)
FOODS_1_018_WI_2_validation,1.05,inf,Erratic (Thất thường)
FOODS_1_018_WI_3_validation,1.06,0.51,Erratic (Thất thường)
FOODS_1_019_CA_1_validation,1.9,0.4,Intermittent (Ngắt quãng)
FOODS_1_019_CA_2_validation,2.04,0.3,Intermittent (Ngắt quãng)
FOODS_1_019_CA_3_validation,1.87,0.44,Intermittent (Ngắt quãng)
FOODS_1_019_CA_4_validation,1.94,0.33,Intermittent (Ngắt quãng)
FOODS_1_019_TX_1_validation,2.45,0.44,Intermittent (Ngắt quãng)
FOODS_1_019_TX_2_validation,2.05,0.36,Intermittent (Ngắt quãng)
FOODS_1_019_TX_3_validation,2.83,0.44,Intermittent (Ngắt quãng)
FOODS_1_019_WI_1_validation,1.38,0.39,Intermittent (Ngắt quãng)
FOODS_1_019_WI_2_validation,1.83,0.41,Intermittent (Ngắt quãng)
FOODS_1_019_WI_3_validation,1.55,0.42,Intermittent (Ngắt quãng)
FOODS_1_020_CA_1_validation,1.79,0.23,Intermittent (Ngắt quãng)
FOODS_1_020_CA_2_validation,1.96,0.24,Intermittent (Ngắt quãng)
FOODS_1_020_CA_3_validation,2.08,0.25,Intermittent (Ngắt quãng)
FOODS_1_020_CA_4_validation,2.55,0.25,Intermittent (Ngắt quãng)
FOODS_1_020_TX_1_validation,3.35,0.2,Intermittent (Ngắt quãng)
FOODS_1_020_TX_2_validation,2.23,0.25,Intermittent (Ngắt quãng)
FOODS_1_020_TX_3_validation,2.51,0.25,Intermittent (Ngắt quãng)
FOODS_1_020_WI_1_validation,1.52,0.36,Intermittent (Ngắt quãng)
FOODS_1_020_WI_2_validation,1.72,0.32,Intermittent (Ngắt quãng)
FOODS_1_020_WI_3_validation,2.62,0.24,Intermittent (Ngắt quãng)
FOODS_1_021_CA_1_validation,1.18,0.63,Erratic (Thất thường)
FOODS_1_021_CA_2_validation,1.22,0.46,Smooth (Đều đặn)
FOODS_1_021_CA_3_validation,1.4,0.39,Intermittent (Ngắt quãng)
FOODS_1_021_CA_4_validation,1.32,0.48,Intermittent (Ngắt quãng)
FOODS_1_021_TX_1_validation,2.94,0.27,Intermittent (Ngắt quãng)
FOODS_1_021_TX_2_validation,2.04,0.29,Intermittent (Ngắt quãng)
FOODS_1_021_TX_3_validation,2.16,0.24,Intermittent (Ngắt quãng)
FOODS_1_021_WI_1_validation,1.2,0.49,Erratic (Thất thường)
FOODS_1_021_WI_2_validation,1.6,0.41,Intermittent (Ngắt quãng)
FOODS_1_021_WI_3_validation,1.58,0.42,Intermittent (Ngắt quãng)
FOODS_1_022_CA_1_validation,9.58,0.0,Intermittent (Ngắt quãng)
FOODS_1_022_CA_2_validation,4.89,0.22,Intermittent (Ngắt quãng)
FOODS_1_022_CA_3_validation,3.7,0.0,Intermittent (Ngắt quãng)
FOODS_1_022_CA_4_validation,7.47,0.0,Intermittent (Ngắt quãng)
FOODS_1_022_TX_1_validation,4.65,0.21,Intermittent (Ngắt quãng)
FOODS_1_022_TX_2_validation,3.91,0.0,Intermittent (Ngắt quãng)
FOODS_1_022_TX_3_validation,2.9,0.24,Intermittent (Ngắt quãng)
FOODS_1_022_WI_1_validation,7.28,0.0,Intermittent (Ngắt quãng)
FOODS_1_022_WI_2_validation,9.05,0.0,Intermittent (Ngắt quãng)
FOODS_1_022_WI_3_validation,21.85,0.13,Intermittent (Ngắt quãng)
FOODS_1_023_CA_1_validation,2.21,0.35,Intermittent (Ngắt quãng)
FOODS_1_023_CA_2_validation,1.45,0.36,Intermittent (Ngắt quãng)
FOODS_1_023_CA_3_validation,1.45,0.3,Intermittent (Ngắt quãng)
FOODS_1_023_CA_4_validation,1.42,0.34,Intermittent (Ngắt quãng)
FOODS_1_023_TX_1_validation,1.73,0.41,Intermittent (Ngắt quãng)
FOODS_1_023_TX_2_validation,1.36,0.34,Intermittent (Ngắt quãng)
FOODS_1_023_TX_3_validation,1.7,0.43,Intermittent (Ngắt quãng)
FOODS_1_023_WI_1_validation,1.91,0.37,Intermittent (Ngắt quãng)
FOODS_1_023_WI_2_validation,2.36,0.27,Intermittent (Ngắt quãng)
FOODS_1_023_WI_3_validation,3.26,0.27,Intermittent (Ngắt quãng)
FOODS_1_024_CA_1_validation,1.7,0.26,Intermittent (Ngắt quãng)
FOODS_1_024_CA_2_validation,1.32,0.43,Smooth (Đều đặn)
FOODS_1_024_CA_3_validation,1.44,0.38,Intermittent (Ngắt quãng)
FOODS_1_024_CA_4_validation,2.11,0.25,Intermittent (Ngắt quãng)
FOODS_1_024_TX_1_validation,2.65,0.27,Intermittent (Ngắt quãng)
FOODS_1_024_TX_2_validation,2.38,0.26,Intermittent (Ngắt quãng)
FOODS_1_024_TX_3_validation,2.98,0.24,Intermittent (Ngắt quãng)
FOODS_1_024_WI_1_validation,1.46,0.39,Intermittent (Ngắt quãng)
FOODS_1_024_WI_2_validation,2.28,0.26,Intermittent (Ngắt quãng)
FOODS_1_024_WI_3_validation,2.01,0.27,Intermittent (Ngắt quãng)
FOODS_1_025_CA_1_validation,2.33,0.25,Intermittent (Ngắt quãng)
FOODS_1_025_CA_2_validation,1.86,0.45,Intermittent (Ngắt quãng)
FOODS_1_025_CA_3_validation,1.76,0.44,Intermittent (Ngắt quãng)
FOODS_1_025_CA_4_validation,2.26,0.22,Intermittent (Ngắt quãng)
FOODS_1_025_TX_1_validation,3.07,0.43,Intermittent (Ngắt quãng)
FOODS_1_025_TX_2_validation,2.41,0.46,Intermittent (Ngắt quãng)
FOODS_1_025_TX_3_validation,3.23,0.48,Intermittent (Ngắt quãng)
FOODS_1_025_WI_1_validation,2.36,0.25,Intermittent (Ngắt quãng)
FOODS_1_025_WI_2_validation,5.08,0.27,Intermittent (Ngắt quãng)
FOODS_1_025_WI_3_validation,5.66,0.27,Intermittent (Ngắt quãng)
FOODS_1_026_CA_1_validation,2.89,0.26,Intermittent (Ngắt quãng)
FOODS_1_026_CA_2_validation,2.45,0.26,Intermittent (Ngắt quãng)
FOODS_1_026_CA_3_validation,2.15,0.28,Intermittent (Ngắt quãng)
FOODS_1_026_CA_4_validation,4.89,0.0,Intermittent (Ngắt quãng)
FOODS_1_026_TX_1_validation,4.11,0.22,Intermittent (Ngắt quãng)
FOODS_1_026_TX_2_validation,3.31,0.25,Intermittent (Ngắt quãng)
FOODS_1_026_TX_3_validation,4.24,0.23,Intermittent (Ngắt quãng)
FOODS_1_026_WI_1_validation,2.58,0.24,Intermittent (Ngắt quãng)
FOODS_1_026_WI_2_validation,2.92,0.24,Intermittent (Ngắt quãng)
FOODS_1_026_WI_3_validation,3.38,0.23,Intermittent (Ngắt quãng)
FOODS_1_027_CA_1_validation,1.78,0.45,Intermittent (Ngắt quãng)
FOODS_1_027_CA_2_validation,1.3,0.47,Smooth (Đều đặn)
FOODS_1_027_CA_3_validation,1.34,0.52,Lumpy (Cục bộ)
FOODS_1_027_CA_4_validation,1.9,0.41,Intermittent (Ngắt quãng)
FOODS_1_027_TX_1_validation,1.31,0.52,Erratic (Thất thường)
FOODS_1_027_TX_2_validation,1.38,0.52,Lumpy (Cục bộ)
FOODS_1_027_TX_3_validation,1.31,0.51,Erratic (Thất thường)
FOODS_1_027_WI_1_validation,1.36,0.44,Intermittent (Ngắt quãng)
FOODS_1_027_WI_2_validation,1.29,0.6,Erratic (Thất thường)
FOODS_1_027_WI_3_validation,1.31,0.39,Smooth (Đều đặn)
FOODS_1_028_CA_1_validation,2.93,0.49,Intermittent (Ngắt quãng)
FOODS_1_028_CA_2_validation,2.88,0.57,Lumpy (Cục bộ)
FOODS_1_028_CA_3_validation,1.99,0.44,Intermittent (Ngắt quãng)
FOODS_1_028_CA_4_validation,3.51,0.24,Intermittent (Ngắt quãng)
FOODS_1_028_TX_1_validation,3.29,0.5,Lumpy (Cục bộ)
FOODS_1_028_TX_2_validation,2.8,0.47,Intermittent (Ngắt quãng)
FOODS_1_028_TX_3_validation,3.17,0.41,Intermittent (Ngắt quãng)
FOODS_1_028_WI_1_validation,1.49,0.48,Intermittent (Ngắt quãng)
FOODS_1_028_WI_2_validation,2.06,0.52,Lumpy (Cục bộ)
FOODS_1_028_WI_3_validation,1.89,0.42,Intermittent (Ngắt quãng)
FOODS_1_029_CA_1_validation,5.83,0.0,Intermittent (Ngắt quãng)
FOODS_1_029_CA_2_validation,5.73,0.0,Intermittent (Ngắt quãng)
FOODS_1_029_CA_3_validation,4.14,0.26,Intermittent (Ngắt quãng)
FOODS_1_029_CA_4_validation,11.82,0.0,Intermittent (Ngắt quãng)
FOODS_1_029_TX_1_validation,6.27,0.0,Intermittent (Ngắt quãng)
FOODS_1_029_TX_2_validation,6.14,0.0,Intermittent (Ngắt quãng)
FOODS_1_029_TX_3_validation,6.7,0.25,Intermittent (Ngắt quãng)
FOODS_1_029_WI_1_validation,4.72,0.26,Intermittent (Ngắt quãng)
FOODS_1_029_WI_2_validation,3.34,0.25,Intermittent (Ngắt quãng)
FOODS_1_029_WI_3_validation,6.64,0.0,Intermittent (Ngắt quãng)
FOODS_1_030_CA_1_validation,3.49,0.26,Intermittent (Ngắt quãng)
FOODS_1_030_CA_2_validation,2.97,0.3,Intermittent (Ngắt quãng)
FOODS_1_030_CA_3_validation,3.48,0.26,Intermittent (Ngắt quãng)
FOODS_1_030_CA_4_validation,5.06,0.0,Intermittent (Ngắt quãng)
FOODS_1_030_TX_1_validation,5.7,0.0,Intermittent (Ngắt quãng)
FOODS_1_030_TX_2_validation,4.35,0.26,Intermittent (Ngắt quãng)
FOODS_1_030_TX_3_validation,4.39,0.21,Intermittent (Ngắt quãng)
FOODS_1_030_WI_1_validation,4.02,0.27,Intermittent (Ngắt quãng)
FOODS_1_030_WI_2_validation,4.21,0.27,Intermittent (Ngắt quãng)
FOODS_1_030_WI_3_validation,4.25,0.3,Intermittent (Ngắt quãng)
FOODS_1_031_CA_1_validation,1.92,0.43,Intermittent (Ngắt quãng)
FOODS_1_031_CA_2_validation,1.42,0.46,Intermittent (Ngắt quãng)
FOODS_1_031_CA_3_validation,1.42,0.47,Intermittent (Ngắt quãng)
FOODS_1_031_CA_4_validation,2.8,0.24,Intermittent (Ngắt quãng)
FOODS_1_031_TX_1_validation,2.53,0.43,Intermittent (Ngắt quãng)
FOODS_1_031_TX_2_validation,2.47,0.27,Intermittent (Ngắt quãng)
FOODS_1_031_TX_3_validation,3.77,0.25,Intermittent (Ngắt quãng)
FOODS_1_031_WI_1_validation,1.88,0.38,Intermittent (Ngắt quãng)
FOODS_1_031_WI_2_validation,4.66,0.26,Intermittent (Ngắt quãng)
FOODS_1_031_WI_3_validation,2.7,0.25,Intermittent (Ngắt quãng)
FOODS_1_032_CA_1_validation,1.35,inf,Lumpy (Cục bộ)
FOODS_1_032_CA_2_validation,1.69,0.62,Lumpy (Cục bộ)
FOODS_1_032_CA_3_validation,1.34,inf,Lumpy (Cục bộ)
FOODS_1_032_CA_4_validation,1.36,0.53,Lumpy (Cục bộ)
FOODS_1_032_TX_1_validation,1.86,0.75,Lumpy (Cục bộ)
FOODS_1_032_TX_2_validation,1.36,inf,Lumpy (Cục bộ)
FOODS_1_032_TX_3_validation,1.53,inf,Lumpy (Cục bộ)
FOODS_1_032_WI_1_validation,1.32,0.44,Smooth (Đều đặn)
FOODS_1_032_WI_2_validation,1.39,inf,Lumpy (Cục bộ)
FOODS_1_032_WI_3_validation,1.37,inf,Lumpy (Cục bộ)
FOODS_1_033_CA_1_validation,4.16,0.27,Intermittent (Ngắt quãng)
FOODS_1_033_CA_2_validation,6.48,0.28,Intermittent (Ngắt quãng)
FOODS_1_033_CA_3_validation,7.57,0.23,Intermittent (Ngắt quãng)
FOODS_1_033_CA_4_validation,9.4,0.0,Intermittent (Ngắt quãng)
FOODS_1_033_TX_1_validation,8.74,0.24,Intermittent (Ngắt quãng)
FOODS_1_033_TX_2_validation,13.58,0.0,Intermittent (Ngắt quãng)
FOODS_1_033_TX_3_validation,5.75,0.29,Intermittent (Ngắt quãng)
FOODS_1_033_WI_1_validation,10.89,0.0,Intermittent (Ngắt quãng)
FOODS_1_033_WI_2_validation,16.78,0.29,Intermittent (Ngắt quãng)
FOODS_1_033_WI_3_validation,15.84,0.0,Intermittent (Ngắt quãng)
FOODS_1_034_CA_1_validation,4.21,0.21,Intermittent (Ngắt quãng)
FOODS_1_034_CA_2_validation,2.41,0.25,Intermittent (Ngắt quãng)
FOODS_1_034_CA_3_validation,3.52,0.23,Intermittent (Ngắt quãng)
FOODS_1_034_CA_4_validation,5.67,0.21,Intermittent (Ngắt quãng)
FOODS_1_034_TX_1_validation,5.49,0.0,Intermittent (Ngắt quãng)
FOODS_1_034_TX_2_validation,2.98,0.2,Intermittent (Ngắt quãng)
FOODS_1_034_TX_3_validation,4.58,0.29,Intermittent (Ngắt quãng)
FOODS_1_034_WI_1_validation,3.91,0.26,Intermittent (Ngắt quãng)
FOODS_1_034_WI_2_validation,6.23,0.0,Intermittent (Ngắt quãng)
FOODS_1_034_WI_3_validation,7.66,0.0,Intermittent (Ngắt quãng)
FOODS_1_035_CA_1_validation,3.05,0.45,Intermittent (Ngắt quãng)
FOODS_1_035_CA_2_validation,3.63,0.47,Intermittent (Ngắt quãng)
FOODS_1_035_CA_3_validation,2.3,0.57,Lumpy (Cục bộ)
FOODS_1_035_CA_4_validation,8.57,0.14,Intermittent (Ngắt quãng)
FOODS_1_035_TX_1_validation,4.95,0.57,Lumpy (Cục bộ)
FOODS_1_035_TX_2_validation,6.12,0.3,Intermittent (Ngắt quãng)
FOODS_1_035_TX_3_validation,7.64,0.25,Intermittent (Ngắt quãng)
FOODS_1_035_WI_1_validation,7.52,0.27,Intermittent (Ngắt quãng)
FOODS_1_035_WI_2_validation,8.85,0.3,Intermittent (Ngắt quãng)
FOODS_1_035_WI_3_validation,8.2,0.14,Intermittent (Ngắt quãng)
FOODS_1_036_CA_1_validation,1.6,0.36,Intermittent (Ngắt quãng)
FOODS_1_036_CA_2_validation,1.8,0.47,Intermittent (Ngắt quãng)
FOODS_1_036_CA_3_validation,1.56,0.41,Intermittent (Ngắt quãng)
FOODS_1_036_CA_4_validation,1.79,0.25,Intermittent (Ngắt quãng)
FOODS_1_036_TX_1_validation,2.11,0.39,Intermittent (Ngắt quãng)
